name,pos,mean,cost,team
Mark Trumbo,OF,6.15133333333,4900.0,BAL
Jonathan Schoop,2B,5.19133333333,4600.0,BAL
Andrelton Simmons,SS,4.447,3900.0,LAA
Johnny Giavotella,2B,4.80233333333,3700.0,LAA
Carlos Perez,C,4.302,3400.0,LAA
Manny Machado,3B/SS,6.45233333333,5000.0,BAL
Albert Pujols,1B,7.13266666667,4700.0,LAA
Yunel Escobar,3B,5.82933333333,4500.0,LAA
Daniel Nava,OF,4.98333333333,3200.0,LAA
Kole Calhoun,OF,6.913,4500.0,LAA
Chris Davis,1B,7.03133333333,4800.0,BAL
C.J. Cron,1B,6.267,4700.0,LAA
Pedro Alvarez,1B,5.983,4000.0,BAL
Mike Trout,OF,8.90366666667,5600.0,LAA
Hyun-soo Kim,OF,5.92966666667,4000.0,BAL
Matt Wieters,C,5.18666666667,3600.0,BAL
Adam Jones,OF,6.34133333333,4500.0,BAL
J.J. Hardy,SS,3.992,3000.0,BAL
Ubaldo Jimenez,SP,16.7695166667,4200.0,BAL
Matt Shoemaker,SP,22.5977166667,6700.0,LAA
Michael Bourn,OF,4.109,3600.0,ARI
Brandon Crawford,SS,4.457,3900.0,SFG
Jake Lamb,3B,4.599,5300.0,ARI
Yasmany Tomas,OF,4.08166666667,2900.0,ARI
Jean Segura,2B,4.66466666667,4200.0,ARI
Jarrett Parker,OF,4.40066666667,3400.0,SFG
Grant Green,1B/2B,4.41033333333,2500.0,SFG
Mac Williamson,OF,4.61866666667,2900.0,SFG
Brandon Belt,1B,5.60133333333,4100.0,SFG
Paul Goldschmidt,1B,5.80633333333,4400.0,ARI
Ruben Tejada,3B/SS,3.63433333333,2500.0,SFG
Chris Herrmann,C,3.373,3600.0,ARI
Angel Pagan,OF,4.59966666667,4000.0,SFG
Nick Ahmed,SS,3.141,2000.0,ARI
Welington Castillo,C,4.323,3300.0,ARI
Buster Posey,C,6.02766666667,4600.0,SFG
Jeff Samardzija,SP,23.5239333333,8900.0,SFG
Patrick Corbin,SP,21.6075166667,5100.0,ARI
Jose Abreu,1B,6.93966666667,3300.0,CHW
Brett Lawrie,2B,5.55933333333,3500.0,CHW
Todd Frazier,3B,6.559,3800.0,CHW
Nick Markakis,OF,3.92166666667,2100.0,ATL
Jace Peterson,2B,3.839,2300.0,ATL
Jeff Francoeur,OF,3.86233333333,2200.0,ATL
Dioner Navarro,C,5.084,3000.0,CHW
Tyler Flowers,C,3.86766666667,2600.0,ATL
Freddie Freeman,1B,5.523,2800.0,ATL
Adam Eaton,OF,5.39766666667,3700.0,CHW
Tim Anderson,SS,5.62633333333,4100.0,CHW
Gordon Beckham,2B/3B,3.58666666667,2300.0,ATL
Adonis Garcia,3B,4.61833333333,2700.0,ATL
Erick Aybar,SS,3.245,2000.0,ATL
Melky Cabrera,OF,5.411,3400.0,CHW
Chase d'Arnaud,2B/3B,4.14233333333,2400.0,ATL
J.B. Shuck,OF,4.042,3300.0,CHW
Avisail Garcia,OF,5.049,2800.0,CHW
Chris Sale,SP,26.8909833333,13500.0,CHW
Matt Wisler,SP,18.2291,7400.0,ATL
David Freese,1B/3B,4.41966666667,3600.0,PIT
Starling Marte,OF,5.112,4200.0,PIT
Erik Kratz,C,3.22,2000.0,PIT
Willson Contreras,C/OF,4.99966666667,3900.0,CHC
Andrew McCutchen,OF,5.448,3400.0,PIT
Anthony Rizzo,1B,6.43566666667,4800.0,CHC
Josh Harrison,2B,4.08966666667,2900.0,PIT
Gregory Polanco,OF,5.06366666667,4500.0,PIT
Javier Baez,2B/3B,4.57433333333,4200.0,CHC
Addison Russell,SS,4.36933333333,4300.0,CHC
John Jaso,1B,4.90766666667,2900.0,PIT
Jason Heyward,OF,4.93166666667,3300.0,CHC
Jordy Mercer,SS,3.922,2700.0,PIT
Ben Zobrist,2B,5.354,4600.0,CHC
Miguel Montero,C,4.49033333333,3300.0,CHC
Kris Bryant,3B/OF,6.12633333333,5500.0,CHC
Jake Arrieta,SP,26.1915166667,12700.0,CHC
Francisco Liriano,SP,23.6075833333,6000.0,PIT
Adeiny Hechavarria,SS,3.977,2900.0,MIA
J.T. Realmuto,C,4.58666666667,4000.0,MIA
Zack Cozart,SS,3.75766666667,3200.0,CIN
Billy Hamilton,OF,3.84866666667,2600.0,CIN
Tucker Barnhart,C,2.80266666667,2300.0,CIN
Marcell Ozuna,OF,6.09266666667,4000.0,MIA
Brandon Phillips,2B,3.53033333333,2200.0,CIN
Eugenio Suarez,3B,3.49833333333,2500.0,CIN
Martin Prado,3B,5.073,3500.0,MIA
Giancarlo Stanton,OF,7.65866666667,4900.0,MIA
Christian Yelich,OF,5.99466666667,4100.0,MIA
Jay Bruce,OF,3.774,3100.0,CIN
Derek Dietrich,2B,5.64266666667,3800.0,MIA
Adam Duvall,OF,3.542,3400.0,CIN
Joey Votto,1B,4.57866666667,3500.0,CIN
Chris Johnson,1B/3B,4.534,2400.0,MIA
Dan Straily,SP,20.6526,5900.0,CIN
Jose Fernandez,SP,31.66715,13400.0,MIA
James McCann,C,3.80166666667,2700.0,DET
Justin Upton,OF,6.083,2300.0,DET
Edwin Encarnacion,1B,8.324,5400.0,TOR
Michael Saunders,OF,6.53766666667,4700.0,TOR
Russell Martin,C,6.20166666667,3800.0,TOR
Troy Tulowitzki,SS,6.68766666667,4800.0,TOR
Mike Aviles,3B/OF,4.315,2600.0,DET
Josh Donaldson,3B,8.38733333333,5600.0,TOR
Ian Kinsler,2B,6.23633333333,4400.0,DET
Justin Smoak,1B,5.62566666667,3800.0,TOR
Nick Castellanos,3B,5.86366666667,4700.0,DET
Miguel Cabrera,1B,7.58166666667,4400.0,DET
Jose Iglesias,SS,4.18933333333,2700.0,DET
Victor Martinez,1B,6.48033333333,4700.0,DET
Cameron Maybin,OF,5.745,4100.0,DET
Devon Travis,2B,5.493,4300.0,TOR
Ezequiel Carrera,OF,5.99366666667,4000.0,TOR
Kevin Pillar,OF,5.452,3600.0,TOR
Mike Pelfrey,SP,14.7862,4000.0,DET
J.A. Happ,SP,19.2095333333,9400.0,TOR
Rougned Odor,2B,6.17366666667,4300.0,TEX
Prince Fielder,1B,6.86733333333,3600.0,TEX
Eduardo Nunez,3B/SS,5.22333333333,4400.0,MIN
Elvis Andrus,SS,4.95533333333,3700.0,TEX
Kennys Vargas,1B,4.42033333333,3800.0,MIN
Miguel Sano,3B/OF,5.85033333333,3900.0,MIN
Jurickson Profar,1B/2B,5.58266666667,3800.0,TEX
Shin-Soo Choo,OF,7.13233333333,4800.0,TEX
Brian Dozier,2B,4.797,4400.0,MIN
Robbie Grossman,OF,4.087,3200.0,MIN
Byron Buxton,OF,3.58966666667,2200.0,MIN
Joe Mauer,1B,4.721,3100.0,MIN
Bobby Wilson,C,4.14933333333,2700.0,TEX
Max Kepler,OF,3.87433333333,3800.0,MIN
Kurt Suzuki,C,3.425,3100.0,MIN
Nomar Mazara,OF,5.858,3600.0,TEX
Adrian Beltre,3B,6.62066666667,3700.0,TEX
Ian Desmond,OF,6.956,5000.0,TEX
Cole Hamels,SP,22.7300833333,9800.0,TEX
Kyle Gibson,SP,16.4251166667,6300.0,MIN
Carlos Beltran,OF,5.70233333333,3800.0,NYY
Mike Napoli,1B,5.98333333333,4100.0,CLE
Jose Ramirez,3B/OF,5.22966666667,4500.0,CLE
Didi Gregorius,SS,4.498,3600.0,NYY
Rajai Davis,OF,4.88833333333,4700.0,CLE
Chase Headley,3B,4.27633333333,2800.0,NYY
Yan Gomes,C,4.6,3200.0,CLE
Alex Rodriguez,1B/3B,5.13966666667,3000.0,NYY
Brett Gardner,OF,5.44333333333,3100.0,NYY
Starlin Castro,2B,3.94366666667,2800.0,NYY
Carlos Santana,1B,7.74533333333,4900.0,CLE
Mark Teixeira,1B,5.12233333333,3100.0,NYY
Tyler Naquin,OF,4.84733333333,4300.0,CLE
Brian McCann,C,5.65233333333,3600.0,NYY
Jason Kipnis,2B,5.81566666667,4900.0,CLE
Lonnie Chisenhall,OF,5.53366666667,4400.0,CLE
Jacoby Ellsbury,OF,5.657,3500.0,NYY
Francisco Lindor,SS,5.66933333333,4600.0,CLE
Corey Kluber,SP,24.5117,11000.0,CLE
Chad Green,SP,20.3705166667,5500.0,NYY
Jose Altuve,2B,6.26966666667,5100.0,HOU
Colby Rasmus,OF,5.63266666667,3600.0,HOU
Marwin Gonzalez,1B/3B,5.00166666667,3300.0,HOU
Jed Lowrie,2B,5.016,2900.0,OAK
Carlos Gomez,OF,4.98933333333,3100.0,HOU
Coco Crisp,OF,5.47833333333,4600.0,OAK
A.J. Reed,1B,5.03733333333,3400.0,HOU
Evan Gattis,C,5.29566666667,3300.0,HOU
George Springer,OF,7.23833333333,4400.0,HOU
Danny Valencia,3B,5.59233333333,3600.0,OAK
Luis Valbuena,3B,5.808,3900.0,HOU
Stephen Vogt,C,5.132,3600.0,OAK
Josh Reddick,OF,6.29766666667,3600.0,OAK
Billy Burns,OF,3.86733333333,2800.0,OAK
Khris Davis,OF,6.225,3900.0,OAK
Marcus Semien,SS,4.73466666667,3600.0,OAK
Carlos Correa,SS,6.218,3900.0,HOU
Yonder Alonso,1B,4.648,2800.0,OAK
Collin McHugh,SP,19.4572833333,7500.0,HOU
Daniel Mengden,SP,20.71985,9600.0,OAK
Mark Reynolds,1B,5.78766666667,4200.0,COL
Cody Asche,OF,6.13466666667,3900.0,PHI
Cameron Rupp,C,5.19433333333,3900.0,PHI
Brandon Barnes,OF,4.087,2900.0,COL
Nick Hundley,C,5.065,3900.0,COL
Peter Bourjos,OF,5.39666666667,3800.0,PHI
Freddy Galvis,SS,4.49166666667,3400.0,PHI
DJ LeMahieu,2B,5.46133333333,4600.0,COL
Odubel Herrera,OF,6.396,5100.0,PHI
Trevor Story,SS,5.29766666667,5000.0,COL
Tommy Joseph,1B,6.084,3600.0,PHI
Charlie Blackmon,OF,6.62733333333,5200.0,COL
Cesar Hernandez,2B,4.456,3800.0,PHI
Maikel Franco,3B,6.577,5000.0,PHI
Carlos Gonzalez,OF,7.16566666667,5300.0,COL
Nolan Arenado,3B,7.54133333333,5100.0,COL
Jon Gray,SP,24.0521166667,6900.0,COL
Vincent Velasquez,SP,26.4843833333,7200.0,PHI
Trayce Thompson,OF,5.128,3600.0,LAD
Matt Kemp,OF,5.652,3600.0,SDP
Melvin Upton Jr.,OF,5.12666666667,4200.0,SDP
Howie Kendrick,2B/OF,4.74833333333,3100.0,LAD
Corey Seager,SS,5.91133333333,4600.0,LAD
Wil Myers,1B,6.12133333333,5500.0,SDP
Justin Turner,3B,5.59366666667,4000.0,LAD
Chase Utley,2B,5.05933333333,3700.0,LAD
Alexei Ramirez,SS,3.87333333333,2100.0,SDP
Yasiel Puig,OF,5.421,3600.0,LAD
Yasmani Grandal,C,5.119,3400.0,LAD
Adrian Gonzalez,1B,6.34133333333,3700.0,LAD
Alex Dickerson,OF,4.12933333333,2700.0,SDP
Yangervis Solarte,2B/3B,4.46566666667,3600.0,SDP
Ryan Schimpf,2B/3B,4.258,3100.0,SDP
Derek Norris,C,4.89466666667,3600.0,SDP
Andrew Cashner,SP,19.50125,5800.0,SDP
Scott Kazmir,SP,24.4569333333,9100.0,LAD
Paulo Orlando,OF,4.23866666667,3000.0,KCR
Robinson Cano,2B,6.143,4800.0,SEA
Dae-Ho Lee,1B,5.31533333333,3900.0,SEA
Adam Lind,1B,5.59233333333,3900.0,SEA
Seth Smith,OF,5.91633333333,4800.0,SEA
Salvador Perez,C,5.41833333333,3000.0,KCR
Ketel Marte,SS,4.00933333333,3200.0,SEA
Nelson Cruz,OF,6.74233333333,4900.0,SEA
Kyle Seager,3B,5.95066666667,4900.0,SEA
Alcides Escobar,SS,3.72966666667,3200.0,KCR
Brett Eibner,OF,4.52133333333,3600.0,KCR
Eric Hosmer,1B,5.721,4200.0,KCR
Chris Iannetta,C,4.629,2700.0,SEA
Alex Gordon,OF,5.82,3000.0,KCR
Cheslor Cuthbert,3B,5.093,3400.0,KCR
Jarrod Dyson,OF,4.022,3400.0,KCR
Whit Merrifield,2B/OF,4.793,3400.0,KCR
Leonys Martin,OF,5.501,3600.0,SEA
Hisashi Iwakuma,SP,20.4028333333,6500.0,SEA
Yordano Ventura,SP,19.4279333333,4900.0,KCR
Chris Carter,1B,4.92733333333,3800.0,MIL
Ramon Flores,OF,3.752,2600.0,MIL
Jhonny Peralta,3B,5.50566666667,3700.0,STL
Kolten Wong,2B/OF,6.14166666667,3200.0,STL
Jonathan Lucroy,C,4.50966666667,4000.0,MIL
Ryan Braun,OF,5.36933333333,4300.0,MIL
Matt Holliday,OF,6.604,3700.0,STL
Stephen Piscotty,OF,5.85233333333,4900.0,STL
Randal Grichuk,OF,5.142,3700.0,STL
Hernan Perez,3B/OF,3.489,3000.0,MIL
Aledmys Diaz,SS,5.84633333333,5100.0,STL
Kirk Nieuwenhuis,OF,4.15166666667,3600.0,MIL
Matt Adams,1B,6.791,3500.0,STL
Scooter Gennett,2B,4.209,3500.0,MIL
Jonathan Villar,SS,4.984,4500.0,MIL
Yadier Molina,C,4.683,2900.0,STL
Michael Wacha,SP,24.4560166667,8100.0,STL
Jimmy Nelson,SP,18.7571,6200.0,MIL
Logan Morrison,1B,6.776,4300.0,TBR
Logan Forsythe,2B,6.84933333333,4200.0,TBR
Evan Longoria,3B,7.6,4100.0,TBR
Corey Dickerson,OF,6.33433333333,3800.0,TBR
Curt Casali,C,4.912,2800.0,TBR
Brad Miller,SS,7.026,4500.0,TBR
Steven Souza Jr.,OF,6.85566666667,3800.0,TBR
Travis Shaw,3B,4.24366666667,3700.0,BOS
David Ortiz,1B,6.42933333333,5300.0,BOS
Oswaldo Arcia,OF,6.45333333333,3700.0,TBR
Jackie Bradley Jr.,OF,4.67933333333,4300.0,BOS
Sandy Leon,C,3.55133333333,3000.0,BOS
Dustin Pedroia,2B,5.74333333333,3800.0,BOS
Mookie Betts,OF,6.48166666667,5200.0,BOS
Hanley Ramirez,1B,5.91833333333,4300.0,BOS
Brock Holt,OF,4.147,3300.0,BOS
Brandon Guyer,OF,5.82366666667,3600.0,TBR
Xander Bogaerts,SS,5.669,4100.0,BOS
Chris Archer,SP,22.6915833333,6800.0,TBR
Sean O'Sullivan,SP,15.4518333333,6000.0,BOS
Anthony Rendon,3B,4.38633333333,3500.0,WAS
Daniel Murphy,2B,5.05,3900.0,WAS
James Loney,1B,3.78566666667,2800.0,NYM
Curtis Granderson,OF,4.726,3500.0,NYM
Ben Revere,OF,4.798,3100.0,WAS
Brandon Nimmo,OF,3.32333333333,2300.0,NYM
Asdrubal Cabrera,SS,3.647,2800.0,NYM
Yoenis Cespedes,OF,4.87433333333,3900.0,NYM
Ryan Zimmerman,1B,4.261,2800.0,WAS
Travis d'Arnaud,C,4.00533333333,2400.0,NYM
Neil Walker,2B,4.235,2900.0,NYM
Wilson Ramos,C,4.84533333333,3600.0,WAS
Danny Espinosa,SS,3.70566666667,4000.0,WAS
Jayson Werth,OF,4.85133333333,2900.0,WAS
Jose Reyes,SS,4.13833333333,2700.0,NYM
Bryce Harper,OF,7.23033333333,4100.0,WAS
Stephen Strasburg,SP,28.1655666667,12900.0,WAS
Noah Syndergaard,SP,26.3470333333,10800.0,NYM
